,Nameabv,Name_long,Date,Title,Sen_len,Dialogue,Compound,neg,neu,pos,Textblob_Polarity,Textblob_Subjectivity,difference
593,JBi,Joe Biden,01-Mar-22,State of the Union Address,395,IÕll sign it.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3953,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
3952,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,Take a vote.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7924,RRe,Ronald Reagan,16-Dec-88,Speech on Foreign Policy,236,These are the stakes.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2347,DTr,Donald Trump,04-Jul-20,Remarks at Salute to America,209,Joshua Lawrence Chamberlain.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2353,DTr,Donald Trump,04-Jul-20,Remarks at Salute to America,209,Booker T. Washington.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2346,DTr,Donald Trump,04-Jul-20,Remarks at Salute to America,209,Harriet Beecher Stowe.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7932,RRe,Ronald Reagan,16-Dec-88,Speech on Foreign Policy,236,And it has something to do with what I just spoke to -- about the Executive and Congress.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7934,RRe,Ronald Reagan,16-Dec-88,Speech on Foreign Policy,236,For years their estrangement lasted.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3970,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
3921,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
7883,RRe,Ronald Reagan,16-Dec-88,Speech on Foreign Policy,236,"So, there was nothing inevitable about all of this.",0.0,0.0,1.0,0.0,0.0,1.0,0.0
8082,RRe,Ronald Reagan,26-Sep-88,Address to the United Nations,192,"But through this summer in Geneva, those brackets have diminished.",0.0,0.0,1.0,0.0,0.0,0.0,0.0
7876,RRe,Ronald Reagan,16-Dec-88,Speech on Foreign Policy,236,Now this is changing.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2410,DTr,Donald Trump,04-Jul-20,Remarks at Salute to America,209,They raced through the skies of KoreaÕs MiG Alley.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3883,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
3881,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
2411,DTr,Donald Trump,04-Jul-20,Remarks at Salute to America,209,They carried American warriors into the dense fields and jungles of Vietnam.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
559,JBi,Joe Biden,01-Mar-22,State of the Union Address,395,Now our infrastructure is ranked 13th in the world.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3878,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,(Applause.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2413,DTr,Donald Trump,04-Jul-20,Remarks at Salute to America,209,A lot of you were involved in that.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3874,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
555,JBi,Joe Biden,01-Mar-22,State of the Union Address,395,Grow the workforce.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2339,DTr,Donald Trump,04-Jul-20,Remarks at Salute to America,209,Benjamin Franklin.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2414,DTr,Donald Trump,04-Jul-20,Remarks at Salute to America,209,A lot of you were involved.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8048,RRe,Ronald Reagan,26-Sep-88,Address to the United Nations,192,"As those I spoke to at Spaso House said to me last June, such movements make a difference.",0.0,0.0,1.0,0.0,0.0,0.2833333333333333,0.0
2419,DTr,Donald Trump,04-Jul-20,Remarks at Salute to America,209,Gone.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2338,DTr,Donald Trump,04-Jul-20,Remarks at Salute to America,209,Alexander Hamilton.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
554,JBi,Joe Biden,01-Mar-22,State of the Union Address,395,Educate Americans.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
553,JBi,Joe Biden,01-Mar-22,State of the Union Address,395,Invest in America.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7870,RRe,Ronald Reagan,16-Dec-88,Speech on Foreign Policy,236,We also saw the construction of the Berlin Wall.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3871,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
8058,RRe,Ronald Reagan,26-Sep-88,Address to the United Nations,192,"On April 14, the U.S.S.R. signed the Geneva accords, which were negotiated under U.N. auspices by Pakistan and the Kabul regime.",0.0,0.0,1.0,0.0,0.0,0.0,0.0
2420,DTr,Donald Trump,04-Jul-20,Remarks at Salute to America,209,Over.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
547,JBi,Joe Biden,01-Mar-22,State of the Union Address,395,Lots of jobs.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
545,JBi,Joe Biden,01-Mar-22,State of the Union Address,395,And it worked.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2424,DTr,Donald Trump,04-Jul-20,Remarks at Salute to America,209,We did that over the last three years.,0.0,0.0,1.0,0.0,0.0,0.06666666666666667,0.0
3866,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
3863,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,That's who we are.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3862,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
3859,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,America is Thomas Edison and the Wright Brothers and George Washington Carver.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3972,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,ItÕs the lesson of Vietnam; it's the lesson of Iraq -- and we should have learned it by now.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3857,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
3885,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,Here are the results.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2406,DTr,Donald Trump,04-Jul-20,Remarks at Salute to America,209,You know that.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3918,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
8033,RRe,Ronald Reagan,26-Sep-88,Address to the United Nations,192,"Human rights, as the universal declaration of this Assembly adopted in 1948 proclaims, is ""for all people and all nations,"" and for all time.",0.0,0.0,1.0,0.0,0.0,0.05,0.0
2342,DTr,Donald Trump,04-Jul-20,Remarks at Salute to America,209,Dolly Madison.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2341,DTr,Donald Trump,04-Jul-20,Remarks at Salute to America,209,James Madison.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
584,JBi,Joe Biden,01-Mar-22,State of the Union Address,395,Smartphones.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
612,JBi,Joe Biden,01-Mar-22,State of the Union Address,395,"When factories close, it takes longer to make goods and get them from the warehouse to the store, and prices go up.",0.0,0.0,1.0,0.0,0.0,0.0,0.0
3915,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,It's not even close.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7995,RRe,Ronald Reagan,26-Sep-88,Address to the United Nations,192,And we salute you for these accomplishments.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3914,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
3913,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,It's not even close.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8000,RRe,Ronald Reagan,26-Sep-88,Address to the United Nations,192,There is movement.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3912,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,ItÕs not even close.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7881,RRe,Ronald Reagan,16-Dec-88,Speech on Foreign Policy,236,This has happened.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3911,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,Period.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3910,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
3909,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,Period.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
575,JBi,Joe Biden,01-Mar-22,State of the Union Address,395,"Every Administration says theyÕll do it, but we are actually doing it.",0.0,0.0,1.0,0.0,0.0,0.1,0.0
8013,RRe,Ronald Reagan,26-Sep-88,Address to the United Nations,192,"But, Mr. Secretary-General, history teaches caution.",0.0,0.0,1.0,0.0,0.0,0.0,0.0
571,JBi,Joe Biden,01-Mar-22,State of the Union Address,395,"And tonight, IÕm announcing that this year we will start fixing over 65,000 miles of highway and 1,500 bridges in disrepair.",0.0,0.0,1.0,0.0,0.0,0.0,0.0
570,JBi,Joe Biden,01-Mar-22,State of the Union Address,395,"4,000 projects have already been announced.",0.0,0.0,1.0,0.0,0.0,0.0,0.0
2340,DTr,Donald Trump,04-Jul-20,Remarks at Salute to America,209,John Adams.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3907,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,Let me tell you something.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3902,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,And it's within our grasp.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3899,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,"Now, none of this is going to happen overnight.",0.0,0.0,1.0,0.0,0.0,0.0,0.0
3898,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
564,JBi,Joe Biden,01-Mar-22,State of the Union Address,395,WeÕre going to have an infrastructure decade.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3897,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,"And that way, we put money back into those communities, and put tens of thousands of Americans to work building a 21st century transportation system.",0.0,0.0,1.0,0.0,0.0,0.0,0.0
3892,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
563,JBi,Joe Biden,01-Mar-22,State of the Union Address,395,WeÕre done talking about infrastructure weeks.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3890,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
8032,RRe,Ronald Reagan,26-Sep-88,Address to the United Nations,192,"Human rights is not for some, some of the time.",0.0,0.0,1.0,0.0,0.0,0.1,0.0
421,JBi,Joe Biden,07-Feb-23,State of the Union Address,435,"One year later, we know the answer.",0.0,0.0,1.0,0.0,0.0,0.0,0.0
8205,RRe,Ronald Reagan,31-May-88,Address at Moscow State University,255,"The Americans were members of Cook's last voyage on an expedition searching for an Arctic passage; on the island of Unalaska, they came upon the Russians, who took them in, and together with the native inhabitants, held a prayer service on the ice.",0.0,0.0,1.0,0.0,0.0,0.06666666666666667,0.0
417,JBi,Joe Biden,07-Feb-23,State of the Union Address,435,Would we stand for sovereignty?,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3554,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,(Laughter.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
3568,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,"It actually happened over the course of years of advocacy, and organizing, and alliance-building, and deal-making, and the changing of public opinion.",0.0,0.0,1.0,0.0,0.0,0.08333333333333334,0.0
3567,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,It didnÕt happen because some massive political revolution occurred.,0.0,0.0,1.0,0.0,0.0,0.55,0.0
3565,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,None of these changes happened overnight.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3564,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
630,JBi,Joe Biden,01-Mar-22,State of the Union Address,395,Just look at insulin.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3562,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,That's how we cleaned up our air and our water.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2526,DTr,Donald Trump,20-Jun-20,"Campaign Rally in Tulsa, Oklahoma",498,Tell me about that.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
631,JBi,Joe Biden,01-Mar-22,State of the Union Address,395,One in ten Americans has diabetes.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
354,JBi,Joe Biden,07-Feb-23,State of the Union Address,435,ItÕs up to all of us.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3559,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,I've been living it.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3558,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,(Laughter.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
8391,RRe,Ronald Reagan,31-May-88,Address at Moscow State University,255,They had a dictator.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2527,DTr,Donald Trump,20-Jun-20,"Campaign Rally in Tulsa, Oklahoma",498,Tell me about that.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
353,JBi,Joe Biden,07-Feb-23,State of the Union Address,435,ItÕs up to us.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8393,RRe,Ronald Reagan,31-May-88,Address at Moscow State University,255,And he did.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4017,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
3550,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
3549,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,And we got to hold our leaders and ourselves accountable to know what the heck theyÕre talking about.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8394,RRe,Ronald Reagan,31-May-88,Address at Moscow State University,255,"But the Organization of American States had asked, what are the goals of the revolution?",0.0,0.0,1.0,0.0,0.0,0.0,0.0
3544,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,(Laughter.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
349,JBi,Joe Biden,07-Feb-23,State of the Union Address,435,Keep your hands on the steering wheel.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
347,JBi,Joe Biden,07-Feb-23,State of the Union Address,435,"If a police officer pulls you over, turn on your interior lights.",0.0,0.0,1.0,0.0,0.0,0.0,0.0
3543,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,And heÕs a senator!,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3542,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,(Laughter.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
3541,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,HeÕd get a D.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3540,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,(Laughter.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
3539,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,Imagine if your 5th grade science teacher had seen that.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3538,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,"Imagine if Benjamin Franklin had seen that senator with the snowball, what he would think.",0.0,0.0,1.0,0.0,0.0,0.0,0.0
3537,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,So itÕs up to you to insist upon and shape an informed debate.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3535,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
4020,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,Let me just say this.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8380,RRe,Ronald Reagan,31-May-88,Address at Moscow State University,255,Carry on.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3570,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,AUDIENCE MEMBER:  Because of you!,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3571,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
3610,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,ItÕs that simple.,0.0,0.0,1.0,0.0,0.0,0.35714285714285715,0.0
374,JBi,Joe Biden,07-Feb-23,State of the Union Address,435,"All of us in this chamber, we need to rise to this moment.",0.0,0.0,1.0,0.0,0.0,0.0,0.0
3604,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,We've got to reduce its influence.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8350,RRe,Ronald Reagan,31-May-88,Address at Moscow State University,255,You and we have had negotiators in Geneva for months working on various points of this treaty.,0.0,0.0,1.0,0.0,0.0,0.5,0.0
3602,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
8352,RRe,Ronald Reagan,31-May-88,Address at Moscow State University,255,It is not completed; there are still some points that are being debated.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2515,DTr,Donald Trump,20-Jun-20,"Campaign Rally in Tulsa, Oklahoma",498,I never knew it was so deep.,0.0,0.0,1.0,0.0,0.0,0.4,0.0
3600,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,It determines what policies they prioritize.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2516,DTr,Donald Trump,20-Jun-20,"Campaign Rally in Tulsa, Oklahoma",498,But itÕs happening.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3599,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,It determines who our Congress is.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
629,JBi,Joe Biden,01-Mar-22,State of the Union Address,395,"And hereÕs the plan: 

FirstÑcut the cost of prescription drugs.",0.0,0.0,1.0,0.0,0.0,0.0,0.0
8358,RRe,Ronald Reagan,31-May-88,Address at Moscow State University,255,"Q: How just students have changed, the youth have changed.",0.0,0.0,1.0,0.0,0.0,0.0,0.0
8359,RRe,Ronald Reagan,31-May-88,Address at Moscow State University,255,You were a student.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3593,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,It wasnÕt because the facts and the evidence showed they wouldn't work.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8360,RRe,Ronald Reagan,31-May-88,Address at Moscow State University,255,[Laughter] At your time there were one type.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7820,RRe,Ronald Reagan,16-Dec-88,Speech on Foreign Policy,236,"So, the treaty is coming closer.",0.0,0.0,1.0,0.0,0.0,0.0,0.0
4019,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
8361,RRe,Ronald Reagan,31-May-88,Address at Moscow State University,255,How they have changed?,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3592,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,It's not because I wasnÕt proposing them.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
365,JBi,Joe Biden,07-Feb-23,State of the Union Address,435,But what happened to Tyre in Memphis happens too often.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3591,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,"Now, the reason some of these things have not happened, even though the majority of people approve of them, is really simple.",0.0,0.0,1.0,0.0,0.0,0.35714285714285715,0.0
3590,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
2489,DTr,Donald Trump,20-Jun-20,"Campaign Rally in Tulsa, Oklahoma",498,So we passed V.A.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2517,DTr,Donald Trump,20-Jun-20,"Campaign Rally in Tulsa, Oklahoma",498,"ItÕs happening, I never knew it was so deep.",0.0,0.0,1.0,0.0,0.0,0.4,0.0
3584,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,We can modernize our infrastructure.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3583,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
3582,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,We can raise the minimum wage.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8373,RRe,Ronald Reagan,31-May-88,Address at Moscow State University,255,And I think that of you.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8376,RRe,Ronald Reagan,31-May-88,Address at Moscow State University,255,I'll illustrate one myself.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3533,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,There are facts.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3532,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,There is evidence.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8409,RRe,Ronald Reagan,31-May-88,Address at Moscow State University,255,"The three words are, ""We the people.""",0.0,0.0,1.0,0.0,0.0,0.0,0.0
3505,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,YouÕll meet them if you haven't already.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3503,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
3500,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,Opinions masquerade as facts.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8425,RRe,Ronald Reagan,31-May-88,Address at Moscow State University,255,"And suddenly, in the atmosphere at that time, they added an amendment to the Constitution that Presidents could only serve two terms.",0.0,0.0,1.0,0.0,0.0,0.75,0.0
309,JBi,Joe Biden,07-Feb-23,State of the Union Address,435,"When we made 12 years of public education universal in the last century, it made us the best-educated, best-prepared nation in the world.",0.0,0.0,1.0,0.0,0.0,0.044444444444444446,0.0
307,JBi,Joe Biden,07-Feb-23,State of the Union Address,435,These plans are fully paid for and we can afford to do them.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8428,RRe,Ronald Reagan,25-Jan-88,State of the Union Address,224,We meet here tonight in this historic Chamber to continue that work.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3497,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
8430,RRe,Ronald Reagan,25-Jan-88,State of the Union Address,224,"So, my message to you tonight is put on your work shoes; we're still on the job.",0.0,0.0,1.0,0.0,0.0,0.0,0.0
2304,DTr,Donald Trump,04-Jul-20,Remarks at Salute to America,209,We cannot let that happen.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2541,DTr,Donald Trump,20-Jun-20,"Campaign Rally in Tulsa, Oklahoma",498,"That happens to him all the time, hasnÕt happened to me yet.",0.0,0.0,1.0,0.0,0.0,0.0,0.0
3493,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,That's what built this country.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3491,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,That is embedded in our constitutional design.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8439,RRe,Ronald Reagan,25-Jan-88,State of the Union Address,224,Those who sent us here to serve themÑthe millions of Americans watching and listening tonight-expect this of us.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8440,RRe,Ronald Reagan,25-Jan-88,State of the Union Address,224,Let's prove to them and to ourselves that democracy works even in an election year.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4036,BKO,Barack Obama,12-Jan-16,2016 State of the Union Address,405,"It will only happen if we can have rational, constructive debates.",0.0,0.0,1.0,0.0,0.0,1.0,0.0
2542,DTr,Donald Trump,20-Jun-20,"Campaign Rally in Tulsa, Oklahoma",498,"When that happens, thereÕs nothing you can do to make up for it.",0.0,0.0,1.0,0.0,0.0,0.0,0.0
8441,RRe,Ronald Reagan,25-Jan-88,State of the Union Address,224,We've done this before.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3489,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
3487,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,"Look, our nationÕs Founders -- Franklin, Madison, Hamilton, Jefferson -- they were born of the Enlightenment.",0.0,0.0,1.0,0.0,0.0,0.0,0.0
7805,RRe,Ronald Reagan,16-Dec-88,Speech on Foreign Policy,236,And even in China and the Soviet Union the theoretical underpinnings of Socialist economics are being reexamined.,0.0,0.0,1.0,0.0,0.0,0.1,0.0
3485,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,(Applause.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
8454,RRe,Ronald Reagan,25-Jan-88,State of the Union Address,224,This is the state of our Union.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8456,RRe,Ronald Reagan,25-Jan-88,State of the Union Address,224,"Toward this end, we have four basic objectives tonight.",0.0,0.0,1.0,0.0,0.0,0.125,0.0
294,JBi,Joe Biden,07-Feb-23,State of the Union Address,435,Not anymore.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3484,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,That's just not knowing what you're talking about.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3482,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,(Laughter.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
7804,RRe,Ronald Reagan,16-Dec-88,Speech on Foreign Policy,236,In Europe the tide is against state ownership of property.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8464,RRe,Ronald Reagan,25-Jan-88,State of the Union Address,224,It's meant to be.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8466,RRe,Ronald Reagan,25-Jan-88,State of the Union Address,224,And that means it's all outÑright to the finish line.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
310,JBi,Joe Biden,07-Feb-23,State of the Union Address,435,But the world has caught up.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3506,BKO,Barack Obama,15-May-16,Commencement Address at Rutgers University,427,(Laughter.),0.0,0.0,1.0,0.0,0.0,0.0,0.0
